PROVIDERID,ProviderName,INTAKEID,YEAR,COMMENCEMENTDATE,ENDDATE,ORIENTATIONDATE,APPLICATIONDEADLINE,ISOPEN,TENTATIVE
SN_P_0002,Charles Sturt University,SN_I_0029,2025,11/16/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0030,2025,11/16/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0031,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0032,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0033,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
,Charles Sturt University Sydney | Melbourne,SN_I_0034,2025,7/14/2025,10/31/2025,10/31/2025,,YES,NO
,Charles Sturt University Sydney | Melbourne,SN_I_0035,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0026,Curtin College,SN_I_0036,2025,7/21/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0037,2025,7/21/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0038,2025,7/28/2025,10/3/2025,10/3/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0039,2025,8/11/2025,9/19/2025,9/19/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0040,2025,9/1/2025,11/30/2025,11/30/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0041,2025,9/1/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0042,2025,9/22/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0043,2025,10/6/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0044,2025,10/13/2025,1/23/2026,1/23/2026,,YES,NO
SN_P_0026,Curtin College,SN_I_0045,2025,11/10/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0026,Curtin College,SN_I_0046,2025,11/10/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0026,Curtin College,SN_I_0047,2025,11/10/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0026,Curtin College,SN_I_0048,2025,12/1/2025,7/31/2026,7/31/2026,,YES,NO
SN_P_0006,Deakin University,SN_I_0049,2025,7/7/2025,11/30/2025,11/30/2025,,YES,NO
SN_P_0006,Deakin University,SN_I_0050,2025,7/14/2025,8/15/2025,8/15/2025,,YES,NO
SN_P_0006,Deakin University,SN_I_0051,2025,8/18/2025,9/19/2025,9/19/2025,,YES,NO
SN_P_0006,Deakin University,SN_I_0052,2025,9/29/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0006,Deakin University,SN_I_0053,2025,11/3/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0006,Deakin University,SN_I_0054,2025,11/10/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0055,2025,7/7/2025,9/14/2025,9/14/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0056,2025,8/4/2025,9/14/2025,9/14/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0057,2025,8/11/2025,9/14/2025,9/14/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0058,2025,10/6/2025,12/14/2025,12/14/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0059,2025,11/3/2025,12/14/2025,12/14/2025,,YES,NO
SN_P_0029,ECA College,SN_I_0060,2025,11/10/2025,12/14/2025,12/14/2025,,YES,NO
,ELSIS,SN_I_0061,2025,7/7/2025,7/13/2025,7/13/2025,,YES,NO
,ELSIS,SN_I_0062,2025,7/14/2025,7/20/2025,7/20/2025,,YES,NO
,ELSIS,SN_I_0063,2025,7/21/2025,7/27/2025,7/27/2025,,YES,NO
,ELSIS,SN_I_0064,2025,7/28/2025,8/3/2025,8/3/2025,,YES,NO
,ELSIS,SN_I_0065,2025,8/4/2025,8/10/2025,8/10/2025,,YES,NO
,ELSIS,SN_I_0066,2025,8/11/2025,8/17/2025,8/17/2025,,YES,NO
,ELSIS,SN_I_0067,2025,8/18/2025,8/24/2025,8/24/2025,,YES,NO
,ELSIS,SN_I_0068,2025,8/25/2025,8/31/2025,8/31/2025,,YES,NO
,ELSIS,SN_I_0069,2025,9/1/2025,9/7/2025,9/7/2025,,YES,NO
,ELSIS,SN_I_0070,2025,9/8/2025,9/14/2025,9/14/2025,,YES,NO
,ELSIS,SN_I_0071,2025,9/15/2025,9/21/2025,9/21/2025,,YES,NO
,ELSIS,SN_I_0072,2025,9/22/2025,9/28/2025,9/28/2025,,YES,NO
,ELSIS,SN_I_0073,2025,9/29/2025,10/5/2025,10/5/2025,,YES,NO
,ELSIS,SN_I_0074,2025,10/6/2025,10/12/2025,10/12/2025,,YES,NO
,ELSIS,SN_I_0075,2025,10/13/2025,10/19/2025,10/19/2025,,YES,NO
,ELSIS,SN_I_0076,2025,10/20/2025,10/26/2025,10/26/2025,,YES,NO
,ELSIS,SN_I_0077,2025,10/27/2025,11/2/2025,11/2/2025,,YES,NO
,ELSIS,SN_I_0078,2025,11/3/2025,11/9/2025,11/9/2025,,YES,NO
,ELSIS,SN_I_0079,2025,11/10/2025,11/16/2025,11/16/2025,,YES,NO
,ELSIS,SN_I_0080,2025,11/17/2025,11/23/2025,11/23/2025,,YES,NO
,ELSIS,SN_I_0081,2025,11/24/2025,11/30/2025,11/30/2025,,YES,NO
,ELSIS,SN_I_0082,2025,12/1/2025,12/7/2025,12/7/2025,,YES,NO
,ELSIS,SN_I_0083,2025,12/8/2025,12/14/2025,12/14/2025,,YES,NO
,ELSIS,SN_I_0084,2025,12/15/2025,12/21/2025,12/21/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0085,2025,7/21/2025,8/22/2025,8/22/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0086,2025,7/21/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0087,2025,7/21/2025,12/15/2025,12/15/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0088,2025,7/28/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0089,2025,7/28/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0090,2025,8/4/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0091,2025,8/25/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0092,2025,10/7/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0093,2025,10/7/2025,1/23/2026,1/23/2026,,YES,NO
SN_P_0018,Eynesbury College,SN_I_0094,2025,11/10/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0095,2025,7/14/2025,3/20/2026,3/20/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0096,2025,7/14/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0097,2025,7/14/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0098,2025,7/14/2025,11/8/2025,11/8/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0099,2025,7/21/2025,11/29/2025,11/29/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0100,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0101,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0102,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0103,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0104,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0105,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0106,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0107,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0108,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0109,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0110,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0111,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0112,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0113,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0114,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0115,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0116,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0117,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0118,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0119,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0120,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0121,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0122,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0123,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0124,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0125,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0126,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0127,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0128,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0129,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0130,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0131,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0132,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0133,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0134,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0135,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0136,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0137,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0138,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0139,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0140,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0141,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0142,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0143,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0144,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0145,2025,7/21/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0146,2025,9/1/2025,2/7/2026,2/7/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0147,2025,9/1/2025,2/7/2026,2/7/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0148,2025,9/1/2025,2/7/2026,2/7/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0149,2025,9/1/2025,2/7/2026,2/7/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0150,2025,10/6/2025,7/10/2026,7/10/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0151,2025,10/6/2025,3/20/2026,3/20/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0152,2025,10/6/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0004,Federation University,SN_I_0153,2025,11/10/2025,3/21/2026,3/21/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0154,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0155,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0156,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0157,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0158,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0159,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0160,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0161,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0162,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0163,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0164,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0165,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0166,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0167,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0168,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0169,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0170,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0171,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0172,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0173,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0174,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0175,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0176,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0177,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0178,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0179,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0180,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0181,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0182,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0183,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0184,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0185,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0186,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0187,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0188,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0189,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0190,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0191,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0004,Federation University,SN_I_0192,2025,11/17/2025,3/6/2026,3/6/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0193,2025,7/7/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0194,2025,7/7/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0195,2025,7/28/2025,7/10/2026,7/10/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0196,2025,7/28/2025,8/29/2025,8/29/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0197,2025,7/28/2025,12/15/2025,12/15/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0198,2025,8/11/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0199,2025,9/1/2025,4/1/2026,4/1/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0200,2025,9/8/2025,9/19/2025,9/19/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0201,2025,9/8/2025,10/10/2026,10/10/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0202,2025,9/8/2025,10/10/2025,10/10/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0203,2025,10/6/2025,1/18/2026,1/18/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0204,2025,10/6/2025,12/26/2025,12/26/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0205,2025,10/6/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0206,2025,10/13/2025,11/14/2025,11/14/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0207,2025,10/20/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0208,2025,10/20/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0209,2025,10/20/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0210,2025,10/20/2025,1/30/2026,1/30/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0211,2025,11/10/2025,6/10/2026,6/10/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0212,2025,11/10/2025,6/6/2026,6/6/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0213,2025,11/10/2025,12/10/2026,12/10/2026,,YES,NO
SN_P_0007,Flinders University,SN_I_0214,2025,11/17/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0215,2025,11/20/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0007,Flinders University,SN_I_0216,2025,11/20/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0025,Griffith College,SN_I_0217,2025,7/14/2025,11/30/2025,11/30/2025,,YES,NO
SN_P_0025,Griffith College,SN_I_0218,2025,9/15/2025,12/5/2025,12/5/2025,,YES,NO
SN_P_0025,Griffith College,SN_I_0219,2025,10/27/2025,3/1/2026,3/1/2026,,YES,NO
SN_P_0025,Griffith College,SN_I_0220,2025,10/27/2025,3/1/2026,3/1/2026,,YES,NO
SN_P_0025,Griffith College,SN_I_0221,2025,10/27/2025,2/6/2026,2/6/2026,,YES,NO
SN_P_0025,Griffith College,SN_I_0222,2025,11/3/2025,2/28/2026,2/28/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0223,2025,7/1/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0224,2025,7/1/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0225,2025,7/7/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0226,2025,7/8/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0227,2025,7/14/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0228,2025,7/21/2025,10/11/2026,10/11/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0229,2025,7/21/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0230,2025,7/22/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0231,2025,7/28/2025,8/23/2026,8/23/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0232,2025,7/28/2025,10/11/2026,10/11/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0233,2025,7/28/2025,9/5/2025,9/5/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0234,2025,7/28/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0235,2025,7/29/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0236,2025,9/8/2025,9/6/2026,9/6/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0237,2025,9/8/2025,12/7/2025,12/7/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0238,2025,9/15/2025,10/18/2026,10/18/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0239,2025,9/15/2025,10/24/2025,10/24/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0240,2025,11/3/2025,12/13/2026,12/13/2026,,YES,NO
SN_P_0008,La Trobe University,SN_I_0241,2025,11/3/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0008,La Trobe University,SN_I_0242,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0001,Macquarie University,SN_I_0243,2025,7/14/2025,7/25/2025,7/25/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0244,2025,7/21/2025,8/22/2025,8/22/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0245,2025,7/28/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0246,2025,7/28/2025,12/31/2025,12/31/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0247,2025,8/4/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0248,2025,8/18/2025,9/28/2025,9/28/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0249,2025,8/25/2025,9/26/2025,9/26/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0250,2025,9/22/2025,12/7/2025,12/7/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0251,2025,10/6/2025,11/28/2025,11/28/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0252,2025,10/7/2025,12/5/2025,12/5/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0253,2025,10/7/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0254,2025,10/13/2025,11/23/2025,11/23/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0255,2025,11/17/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0001,Macquarie University,SN_I_0256,2025,12/8/2025,2/6/2026,2/6/2026,,YES,NO
SN_P_0001,Macquarie University,SN_I_0257,2025,12/8/2025,6/30/2026,6/30/2026,,YES,NO
SN_P_0001,Macquarie University,SN_I_0258,2025,12/15/2025,2/13/2026,2/13/2026,,YES,NO
,South Australian Institute of Business and Technology (SAIBT),SN_I_0259,2025,7/7/2025,6/30/2026,6/30/2026,,YES,NO
,South Australian Institute of Business and Technology (SAIBT),SN_I_0260,2025,7/21/2025,8/22/2025,8/22/2025,,YES,NO
,South Australian Institute of Business and Technology (SAIBT),SN_I_0261,2025,7/21/2025,12/31/2025,12/31/2025,,YES,NO
